id,title,authors,journal,year,doi,pmid,pubmed_url,scope,source,verified_at
"1","High-fiber diet ameliorates gut microbiota, serum metabolism and emotional mood in type 2 diabetes patients.","Chen L; Liu B; Ren L","Frontiers in cellular and infection microbiology","2023","10.3389/fcimb.2023.1069954","36794003","https://pubmed.ncbi.nlm.nih.gov/36794003/","t2d_gut_microbiome","PubMed","2026-08-22"
"2","Gut Microbiota: An Important Player in Type 2 Diabetes Mellitus.","Zhou Z; Sun B; Yu D","Frontiers in cellular and infection microbiology","2022","10.3389/fcimb.2022.834485","35242721","https://pubmed.ncbi.nlm.nih.gov/35242721/","t2d_gut_microbiome","PubMed","2026-08-22"
"3","Targeting the gut microbiota and its metabolites for type 2 diabetes mellitus.","Wu J; Yang K; Fan H","Frontiers in endocrinology","2023","10.3389/fendo.2023.1114424","37229456","https://pubmed.ncbi.nlm.nih.gov/37229456/","t2d_gut_microbiome","PubMed","2026-08-22"
"4","Associated factors and principal pathophysiological mechanisms of type 2 diabetes mellitus.","Wang L; Li L; Liu J","Frontiers in endocrinology","2025","10.3389/fendo.2025.1499565","40416523","https://pubmed.ncbi.nlm.nih.gov/40416523/","t2d_gut_microbiome","PubMed","2026-08-22"
"5","Gut Microbiota and Type 2 Diabetes Mellitus: Association, Mechanism, and Translational Applications.","Zhang L; Chu J; Hao W","Mediators of inflammation","2021","10.1155/2021/5110276","34447287","https://pubmed.ncbi.nlm.nih.gov/34447287/","t2d_gut_microbiome","PubMed","2026-08-22"
"6","Gut bacteria selectively promoted by dietary fibers alleviate type 2 diabetes.","Zhao L; Zhang F; Ding X","Science (New York, N.Y.)","2018","10.1126/science.aao5774","29590046","https://pubmed.ncbi.nlm.nih.gov/29590046/","t2d_gut_microbiome","PubMed","2026-08-22"
"7","Gut microbiota: A new target for T2DM prevention and treatment.","Liu L; Zhang J; Cheng Y","Frontiers in endocrinology","2022","10.3389/fendo.2022.958218","36034447","https://pubmed.ncbi.nlm.nih.gov/36034447/","t2d_gut_microbiome","PubMed","2026-08-22"
"8","A systematic review on gut microbiota in type 2 diabetes mellitus.","Chong S; Lin M; Chong D","Frontiers in endocrinology","2024","10.3389/fendo.2024.1486793","39897957","https://pubmed.ncbi.nlm.nih.gov/39897957/","t2d_gut_microbiome","PubMed","2026-08-22"
"9","Gut microbial metabolites in obesity, NAFLD and T2DM.","Canfora EE; Meex RCR; Venema K","Nature reviews. Endocrinology","2019","10.1038/s41574-019-0156-z","30670819","https://pubmed.ncbi.nlm.nih.gov/30670819/","t2d_gut_microbiome","PubMed","2026-08-22"
"10","The central role of the gut microbiota in the pathophysiology and management of type 2 diabetes.","Baars DP; Fondevila MF; Meijnikman AS","Cell host & microbe","2024","10.1016/j.chom.2024.07.017","39146799","https://pubmed.ncbi.nlm.nih.gov/39146799/","t2d_gut_microbiome","PubMed","2026-08-22"
"11","New Insights into the Pathophysiology of Type 2 Diabetes: A Review Article.","Vybhavi VSJ; Bhavsar M; Gusani J","Journal of pharmacy & bioallied sciences","2025","10.4103/jpbs.jpbs_1759_24","40655865","https://pubmed.ncbi.nlm.nih.gov/40655865/","t2d_gut_microbiome","PubMed","2026-08-22"
"12","Fecal microbiota transplantation reverses insulin resistance in type 2 diabetes: A randomized, controlled, prospective study.","Wu Z; Zhang B; Chen F","Frontiers in cellular and infection microbiology","2022","10.3389/fcimb.2022.1089991","36704100","https://pubmed.ncbi.nlm.nih.gov/36704100/","t2d_gut_microbiome","PubMed","2026-08-22"
"13","Hypoglycemic effect of C. butyricum-pMTL007-GLP-1 engineered probiotics on type 2 diabetes mellitus.","Zhou D; Li S; Hu G","Gut microbes","2025","10.1080/19490976.2024.2447814","39745177","https://pubmed.ncbi.nlm.nih.gov/39745177/","t2d_gut_microbiome","PubMed","2026-08-22"
"14","Glycoursodeoxycholic acid regulates bile acids level and alters gut microbiota and glycolipid metabolism to attenuate diabetes.","Chen B; Bai Y; Tong F","Gut microbes","2023","10.1080/19490976.2023.2192155","36967529","https://pubmed.ncbi.nlm.nih.gov/36967529/","t2d_gut_microbiome","PubMed","2026-08-22"
"15","Type-2 Diabetes Mellitus and the Gut Microbiota: Systematic Review.","Slouha E; Rezazadah A; Farahbod K","Cureus","2023","10.7759/cureus.49740","38161953","https://pubmed.ncbi.nlm.nih.gov/38161953/","t2d_gut_microbiome","PubMed","2026-08-22"
"16","Gut microbiota influence in type 2 diabetes mellitus (T2DM).","Cunningham AL; Stephens JW; Harris DA","Gut pathogens","2021","10.1186/s13099-021-00446-0","34362432","https://pubmed.ncbi.nlm.nih.gov/34362432/","t2d_gut_microbiome","PubMed","2026-08-22"
"17","Nutrition and Gut Microbiota-Immune System Interplay in Chronic Diseases.","Reis F; Ferreira LMR; Ortega E","Nutrients","2025","10.3390/nu17081330","40284195","https://pubmed.ncbi.nlm.nih.gov/40284195/","t2d_gut_microbiome","PubMed","2026-08-22"
"18","Gut microbiome: New perspectives for type 2 diabetes prevention and treatment.","Li SX; Guo Y","World journal of clinical cases","2023","10.12998/wjcc.v11.i31.7508","38078135","https://pubmed.ncbi.nlm.nih.gov/38078135/","t2d_gut_microbiome","PubMed","2026-08-22"
"19","Novel Associations of Empagliflozin on the Gut Microbiome and Metabolome in Type 2 Diabetes.","Lecamwasam A; Ekinci EI","The Journal of clinical endocrinology and metabolism","2022","10.1210/clinem/dgac329","35674101","https://pubmed.ncbi.nlm.nih.gov/35674101/","t2d_gut_microbiome","PubMed","2026-08-22"
"20","A critical role for Phocaeicola vulgatus in negatively impacting metformin response in diabetes.","Chen M; Peng Y; Hu Y","Acta pharmaceutica Sinica. B","2025","10.1016/j.apsb.2025.02.008","40487637","https://pubmed.ncbi.nlm.nih.gov/40487637/","t2d_gut_microbiome","PubMed","2026-08-22"
"21","Relationship between gut microbiota, probiotics, and type 2 diabetes mellitus.","Salgaço MK; Oliveira LGS; Costa GN","Applied microbiology and biotechnology","2019","10.1007/s00253-019-10156-y","31664483","https://pubmed.ncbi.nlm.nih.gov/31664483/","t2d_gut_microbiome","PubMed","2026-08-22"
"22","The Gut Microbiome and Type 2 Diabetes Mellitus: Discussing a Complex Relationship.","Sikalidis AK; Maykish A","Biomedicines","2020","10.3390/biomedicines8010008","31936158","https://pubmed.ncbi.nlm.nih.gov/31936158/","t2d_gut_microbiome","PubMed","2026-08-22"
"23","Gut microbiota and type 2 diabetes mellitus: a focus on the gut-brain axis.","Pan Y; Bu T; Deng X","Endocrine","2024","10.1007/s12020-023-03640-z","38227168","https://pubmed.ncbi.nlm.nih.gov/38227168/","t2d_gut_microbiome","PubMed","2026-08-22"
"24","Modulating the Gut Microbiome in Type 2 Diabetes: Nutritional and Therapeutic Strategies.","Nikolaidis CG; Gyriki D; Stavropoulou E","Nutrients","2025","10.3390/nu18010089","41515205","https://pubmed.ncbi.nlm.nih.gov/41515205/","t2d_gut_microbiome","PubMed","2026-08-22"
"25","Gut microbiota-derived metabolites as key actors in type 2 diabetes mellitus.","Du L; Li Q; Yi H","Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie","2022","10.1016/j.biopha.2022.112839","35325852","https://pubmed.ncbi.nlm.nih.gov/35325852/","t2d_gut_microbiome","PubMed","2026-08-22"
"26","Gut microbiome in type 2 diabetes mellitus: A literature review.","Wojakowicz K; Pielech AK; Kowalińska JE","Advances in clinical and experimental medicine : official organ Wroclaw Medical University","2026","10.17219/acem/218917","42267869","https://pubmed.ncbi.nlm.nih.gov/42267869/","t2d_gut_microbiome","PubMed","2026-08-22"
"27","Managing Type 2 Diabetes Mellitus via the Regulation of Gut Microbiota: A Chinese Medicine Perspective.","Ng CYJ; Zhong L; Ng HS","Nutrients","2024","10.3390/nu16223935","39599721","https://pubmed.ncbi.nlm.nih.gov/39599721/","t2d_gut_microbiome","PubMed","2026-08-22"
"28","Epigenetic Regulation of Obesity-Associated Type 2 Diabetes.","Ibrahim HIM","Medicina (Kaunas, Lithuania)","2022","10.3390/medicina58101366","36295527","https://pubmed.ncbi.nlm.nih.gov/36295527/","t2d_gut_microbiome","PubMed","2026-08-22"
"29","Ginseng-derived GABAFG ameliorates type 2 diabetes mellitus by modulating autophagy-lysosome pathway and gut microbiota.","Qi MH; Zhang HY; Hou YY","Journal of advanced research","2025","10.1016/j.jare.2025.01.003","39761869","https://pubmed.ncbi.nlm.nih.gov/39761869/","t2d_gut_microbiome","PubMed","2026-08-22"
"30","Gut Microbiota Dysbiosis and Its Impact on Type 2 Diabetes: From Pathogenesis to Therapeutic Strategies.","Yu Y; Ding Y; Wang S","Metabolites","2025","10.3390/metabo15060397","40559421","https://pubmed.ncbi.nlm.nih.gov/40559421/","t2d_gut_microbiome","PubMed","2026-08-22"
"31","The Role of the Gut Microbiome in Type 2 Diabetes Mellitus.","Mashal R; Al-Muhanna A; Khader S","International journal of molecular sciences","2025","10.3390/ijms262311412","41373570","https://pubmed.ncbi.nlm.nih.gov/41373570/","t2d_gut_microbiome","PubMed","2026-08-22"
"32","Gut microbiota, sarcopenia, and type 2 diabetes: a triangular pathophysiological network.","Jawed F; Aziz R; Mir SUI","Journal of diabetes and metabolic disorders","2026","10.1007/s40200-026-01857-z","41584317","https://pubmed.ncbi.nlm.nih.gov/41584317/","t2d_gut_microbiome","PubMed","2026-08-22"
"33","Influence of gut bacteria on type 2 diabetes: Mechanisms and therapeutic strategy.","Wen X; Qi LM; Zhao K","World journal of diabetes","2025","10.4239/wjd.v16.i1.100376","39817222","https://pubmed.ncbi.nlm.nih.gov/39817222/","t2d_gut_microbiome","PubMed","2026-08-22"
"34","Role of gut microbiota in obesity, type 2 diabetes and Alzheimer's disease.","Naseer MI; Bibi F; Alqahtani MH","CNS & neurological disorders drug targets","2014","10.2174/18715273113126660147","24059313","https://pubmed.ncbi.nlm.nih.gov/24059313/","t2d_gut_microbiome","PubMed","2026-08-22"
"35","Short-Term Effects of Nonnutritive Sweetener (Sucralose and Saccharin) Consumption on Glycemic Control and Gut Microbiota in Patients With Type 2 Diabetes: Protocol for a Double-Blind, Randomized, Placebo-Controlled, Crossover Trial.","Tan HS; Gilcharan Singh HK; Mariappan V","JMIR research protocols","2025","10.2196/82695","41370820","https://pubmed.ncbi.nlm.nih.gov/41370820/","t2d_gut_microbiome","PubMed","2026-08-22"
"36","Type-2 diabetes mellitus enhances Klebsiella pneumoniae pathogenesis.","Todd K; Gunter K; Bowen JM","bioRxiv : the preprint server for biology","2024","10.1101/2024.05.31.596766","38853822","https://pubmed.ncbi.nlm.nih.gov/38853822/","disease_metagenomics_or_methods","PubMed","2026-08-22"
"37","Gut microbiota and probiotics: Focus on diabetes mellitus.","Bordalo Tonucci L; Dos Santos KM; De Luces Fortes Ferreira CL","Critical reviews in food science and nutrition","2017","10.1080/10408398.2014.934438","26499995","https://pubmed.ncbi.nlm.nih.gov/26499995/","disease_metagenomics_or_methods","PubMed","2026-08-22"
"38","Neuroactive Steroid-Gut Microbiota Interaction in T2DM Diabetic Encephalopathy.","Diviccaro S; Cioffi L; Piazza R","Biomolecules","2023","10.3390/biom13091325","37759725","https://pubmed.ncbi.nlm.nih.gov/37759725/","disease_metagenomics_or_methods","PubMed","2026-08-22"
"39","The mechanism of Gei Herba against type 2 diabetes mellitus: an integration of gut microbiota and network pharmacology analysis.","Zhang XM; Zhou HM; Wang WX","Artificial cells, nanomedicine, and biotechnology","2026","10.1080/21691401.2026.2618968","41604519","https://pubmed.ncbi.nlm.nih.gov/41604519/","disease_metagenomics_or_methods","PubMed","2026-08-22"
"40","Management of Type 2 Diabetes Mellitus: Targeting Gut Microbiome Therapy.","Bibi A; Zhou L; You M","The American journal of Chinese medicine","2026","10.1142/S0192415X26500497","42417102","https://pubmed.ncbi.nlm.nih.gov/42417102/","disease_metagenomics_or_methods","PubMed","2026-08-22"
"41","Dysbiosis and Regulation of Gut Microbiota in Type 2 Diabetes Mellitus.","Minakshi; Kumari H; Prakash S","Current pharmaceutical biotechnology","2025","10.2174/0113892010318580240910061534","39323330","https://pubmed.ncbi.nlm.nih.gov/39323330/","disease_metagenomics_or_methods","PubMed","2026-08-22"
"42","Functional alterations and predictive capacity of gut microbiome in type 2 diabetes.","Dash NR; Al Bataineh MT; Alili R","Scientific reports","2023","10.1038/s41598-023-49679-w","38104165","https://pubmed.ncbi.nlm.nih.gov/38104165/","disease_metagenomics_or_methods","PubMed","2026-08-22"
