feature,importance
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__subdoligranulum.s__subdoligranulum_unclassified,0.05742799
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__lachnospiraceae_noname.s__lachnospiraceae_bacterium_7_1_58faa,0.05378083
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__lachnospiraceae_noname.s__lachnospiraceae_bacterium_5_1_63faa,0.052915882
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__hanrivervirus,0.049089372
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__felixounavirus.s__felixounavirus_alf5,0.045208298
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__subdoligranulum,0.04280198
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__lachnospiraceae_noname,0.03622189
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__akiravirus,0.032148633
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__akiravirus.s__akiravirus_akira,0.029805565
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__webervirus.s__webervirus_njs1,0.029558195
k__bacteria.p__actinobacteria.c__actinobacteria.o__coriobacteriales,0.02757028
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_p1532,0.018720109
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__changchunvirus,0.016822878
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__hanrivervirus.s__hanrivervirus_hv2019sd1,0.016770061
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__oscillospiraceae.g__oscillibacter.s__oscillibacter_unclassified,0.014579286
k__bacteria.p__actinobacteria.c__actinomycetia.o__bifidobacteriales.f__bifidobacteriaceae.g__bifidobacterium,0.013495601
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__marfavirus.s__marfavirus_f48,0.013420694
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__warwickvirus,0.011404894
k__bacteria.p__actinobacteria.c__actinomycetia,0.010489153
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__webervirus.s__klebsiella_phage_rad2,0.007987488
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_buccae,0.0072126896
k__bacteria.p__bacteroidota.c__flavobacteriia.o__flavobacteriales.f__flavobacteriaceae.g__polaribacter.s__polaribacter_undariae,0.0069345003
k__bacteria.p__actinobacteria.c__actinomycetia.o__bifidobacteriales.f__bifidobacteriaceae,0.0068108314
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__faecalicatena,0.006586342
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__coprococcus.s__coprococcus_eutactus,0.0062529473
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_denticola,0.005877348
k__bacteria.p__bacteroidota.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella,0.005858751
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__pasteurellales.f__pasteurellaceae.g__haemophilus.s__haemophilus_aegyptius,0.0054874835
k__bacteria.p__bacteroidota.c__bacteroidia.o__bacteroidales.f__bacteroidaceae.g__bacteroides.s__bacteroides_thetaiotaomicron,0.0054362086
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__autographiviridae.g__przondovirus.s__przondovirus_ime321,0.005396427
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__anaerobutyricum,0.004554947
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__oscillospiraceae.g__dysosmobacter.s__dysosmobacter_welbionis,0.0036608572
k__bacteria.p__actinobacteria.c__actinobacteria.o__coriobacteriales.f__coriobacteriaceae,0.0036264765
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__streptococcaceae.g__streptococcus.s__streptococcus_sp,0.0033099987
