sampleID,Group,dataset
MV_FEI1_t1Q14,0,MultiDisease
MV_FEI2_t1Q14,0,MultiDisease
MV_FEI3_t1Q14,0,MultiDisease
MV_FEI4_t1Q14,0,MultiDisease
MV_FEI5_t1Q14,0,MultiDisease
MV_FEM2_t1Q14,0,MultiDisease
MV_FEM4_t1Q14,0,MultiDisease
SAMEA7041134,0,MultiDisease
SAMEA7041135,0,MultiDisease
SAMEA7041138,0,MultiDisease
SAMEA7041139,0,MultiDisease
SAMEA7041141,0,MultiDisease
SAMEA7041143,0,MultiDisease
SAMEA7041144,0,MultiDisease
SAMEA7041149,0,MultiDisease
SAMEA7041151,0,MultiDisease
SAMEA7041152,0,MultiDisease
SAMEA7041153,0,MultiDisease
SAMEA7041155,0,MultiDisease
SAMEA7041156,0,MultiDisease
SAMEA7041161,0,MultiDisease
SAMEA7041163,0,MultiDisease
SAMEA7041165,0,MultiDisease
SAMEA7041166,0,MultiDisease
SAMEA7041168,0,MultiDisease
SAMEA7041169,0,MultiDisease
SAMEA7041170,0,MultiDisease
SAMEA7041172,0,MultiDisease
SAMEA7041177,0,MultiDisease
SAMEA7041181,0,MultiDisease
SAMEA7041182,0,MultiDisease
SAMEA7041185,0,MultiDisease
SAMEA7041186,0,MultiDisease
SAMEA7041191,0,MultiDisease
SAMEA7041192,0,MultiDisease
SAMEA7041193,0,MultiDisease
SAMEA7041194,0,MultiDisease
SAMEA7041197,0,MultiDisease
SAMEA7041198,0,MultiDisease
SAMEA7041199,0,MultiDisease
SAMEA7041201,0,MultiDisease
SAMEA7041203,0,MultiDisease
SAMEA7041207,0,MultiDisease
SAMEA7041208,0,MultiDisease
SAMEA7041209,0,MultiDisease
SAMEA7041210,0,MultiDisease
SAMEA7041211,0,MultiDisease
SAMEA7041214,0,MultiDisease
SAMEA7041216,0,MultiDisease
SAMEA7041218,0,MultiDisease
SAMEA7041220,0,MultiDisease
SAMEA7041224,0,MultiDisease
SAMEA7041227,0,MultiDisease
SAMEA7041229,0,MultiDisease
SAMEA7041230,0,MultiDisease
SAMEA7041232,0,MultiDisease
SAMEA7041233,0,MultiDisease
SAMEA7041234,0,MultiDisease
SAMEA7041238,0,MultiDisease
SAMEA7041239,0,MultiDisease
SAMEA7041240,0,MultiDisease
SAMEA7041245,0,MultiDisease
SAMEA7041246,0,MultiDisease
SAMEA7041247,0,MultiDisease
SAMEA7041249,0,MultiDisease
SAMEA7041250,0,MultiDisease
SAMEA7041252,0,MultiDisease
SAMEA7041254,0,MultiDisease
SAMEA7041257,0,MultiDisease
SAMEA7041261,0,MultiDisease
SAMEA7041263,0,MultiDisease
SAMEA7041264,0,MultiDisease
SAMEA7041265,0,MultiDisease
SAMEA7041266,0,MultiDisease
SAMEA7041268,0,MultiDisease
SAMEA7041269,0,MultiDisease
SAMEA7041271,0,MultiDisease
SAMEA7041272,0,MultiDisease
SAMEA7041277,0,MultiDisease
SAMEA7041278,0,MultiDisease
SAMEA7041279,0,MultiDisease
SAMEA7045003,0,MultiDisease
SAMEA7045004,0,MultiDisease
SAMEA7045005,0,MultiDisease
SAMEA7045007,0,MultiDisease
SAMEA7045011,0,MultiDisease
SAMEA7045012,0,MultiDisease
